Player Stats Log
==================================================

==================================================
Processing stats for player 879707 (limited date range)
==================================================
879707 Points thresholds in season 2021 - 2022:

Detailed game stats for minimum scored points of 40:
879707 Points thresholds in season 2022 - 2023:

Detailed game stats for minimum scored points of 40:
  Date: 2022-10-28 | Event ID: 2484203 | Points: 41
  Date: 2022-12-06 | Event ID: 2484355 | Points: 43
  Date: 2022-12-16 | Event ID: 2484366 | Points: 41
  Date: 2023-01-02 | Event ID: 2484391 | Points: 71
  Date: 2023-01-10 | Event ID: 2485039 | Points: 46
  Date: 2023-02-13 | Event ID: 2484442 | Points: 41
  Date: 2023-03-01 | Event ID: 2484275 | Points: 44
  Date: 2023-03-06 | Event ID: 2484461 | Points: 40
  Date: 2023-03-10 | Event ID: 2484385 | Points: 42
  Date: 2023-03-28 | Event ID: 2484757 | Points: 44
  Date: 2023-03-31 | Event ID: 2484477 | Points: 42
  Date: 2023-04-02 | Event ID: 2484482 | Points: 40
  Date: 2023-04-04 | Event ID: 2484524 | Points: 43
879707 Points thresholds in season 2023 - 2024:

Detailed game stats for minimum scored points of 40:
  Date: 2023-11-28 | Event ID: 2591181 | Points: 40
  Date: 2023-10-27 | Event ID: 2591133 | Points: 43
  Date: 2024-01-11 | Event ID: 2591234 | Points: 45
  Date: 2024-01-31 | Event ID: 2591249 | Points: 45
  Date: 2024-02-07 | Event ID: 2590597 | Points: 40
