Player Stats Log
==================================================

==================================================
Processing stats for player 880871 (limited date range)
==================================================
880871 Points thresholds in season 2019 - 2020:

Detailed game stats for minimum scored points of 20:
  Date: 2019-05-25 | Event ID: 2131185 | Points: 27
  Date: 2019-08-06 | Event ID: 2131323 | Points: 22
  Date: 2019-08-25 | Event ID: 2131372 | Points: 23
880871 Points thresholds in season 2020 - 2021:

Detailed game stats for minimum scored points of 20:
  Date: 2020-07-30 | Event ID: 2247764 | Points: 20
  Date: 2020-08-13 | Event ID: 2247692 | Points: 21
  Date: 2020-08-15 | Event ID: 2247697 | Points: 26
  Date: 2020-08-21 | Event ID: 2247713 | Points: 20
  Date: 2020-08-31 | Event ID: 2262026 | Points: 25
  Date: 2020-09-08 | Event ID: 2247757 | Points: 21
  Date: 2020-09-12 | Event ID: 2247789 | Points: 23
880871 Points thresholds in season 2021 - 2022:

Detailed game stats for minimum scored points of 20:
  Date: 2021-06-04 | Event ID: 2326731 | Points: 26
  Date: 2021-06-08 | Event ID: 2326738 | Points: 22
  Date: 2021-06-15 | Event ID: 2326752 | Points: 27
  Date: 2021-06-25 | Event ID: 2326772 | Points: 23
  Date: 2021-07-11 | Event ID: 2326805 | Points: 27
  Date: 2021-08-31 | Event ID: 2326843 | Points: 21
  Date: 2021-09-04 | Event ID: 2326850 | Points: 21
  Date: 2021-09-12 | Event ID: 2326864 | Points: 22
880871 Points thresholds in season 2022 - 2023:

Detailed game stats for minimum scored points of 20:
880871 Points thresholds in season 2023 - 2024:

Detailed game stats for minimum scored points of 20:
  Date: 2023-05-23 | Event ID: 2516914 | Points: 20
  Date: 2023-05-28 | Event ID: 2516923 | Points: 21
  Date: 2023-06-01 | Event ID: 2516928 | Points: 30
  Date: 2023-06-09 | Event ID: 2516946 | Points: 28
  Date: 2023-06-11 | Event ID: 2516954 | Points: 24
  Date: 2023-06-16 | Event ID: 2516963 | Points: 25
  Date: 2023-06-20 | Event ID: 2516971 | Points: 26
  Date: 2023-06-22 | Event ID: 2516975 | Points: 21
  Date: 2023-06-27 | Event ID: 2516986 | Points: 33
  Date: 2023-06-29 | Event ID: 2516992 | Points: 31
  Date: 2023-07-05 | Event ID: 2517002 | Points: 32
  Date: 2023-07-18 | Event ID: 2517023 | Points: 35
  Date: 2023-07-20 | Event ID: 2517028 | Points: 22
  Date: 2023-07-26 | Event ID: 2517043 | Points: 24
  Date: 2023-08-08 | Event ID: 2517170 | Points: 29
  Date: 2023-08-18 | Event ID: 2517190 | Points: 24
  Date: 2023-08-22 | Event ID: 2517199 | Points: 29
  Date: 2023-08-24 | Event ID: 2517204 | Points: 25
  Date: 2023-09-01 | Event ID: 2517221 | Points: 27
  Date: 2023-09-03 | Event ID: 2517225 | Points: 22
  Date: 2023-09-08 | Event ID: 2517235 | Points: 28
  Date: 2023-09-10 | Event ID: 2517240 | Points: 23
880871 Points thresholds in season 2024 - 2025:

Detailed game stats for minimum scored points of 20:
  Date: 2024-05-14 | Event ID: 2618076 | Points: 20
  Date: 2024-05-17 | Event ID: 2618083 | Points: 29
  Date: 2024-05-23 | Event ID: 2618108 | Points: 31
  Date: 2024-05-26 | Event ID: 2618758 | Points: 20
  Date: 2024-06-02 | Event ID: 2618808 | Points: 24
  Date: 2024-06-05 | Event ID: 2618822 | Points: 25
  Date: 2024-06-07 | Event ID: 2618845 | Points: 20
  Date: 2024-06-14 | Event ID: 2618923 | Points: 30
  Date: 2024-06-22 | Event ID: 2618963 | Points: 23
  Date: 2024-06-27 | Event ID: 2618977 | Points: 29
  Date: 2024-08-17 | Event ID: 2619122 | Points: 30
  Date: 2024-08-21 | Event ID: 2619152 | Points: 23
  Date: 2024-08-23 | Event ID: 2619158 | Points: 27
  Date: 2024-08-24 | Event ID: 2619161 | Points: 31
  Date: 2024-09-06 | Event ID: 2619227 | Points: 26
  Date: 2024-09-13 | Event ID: 2619263 | Points: 20
  Date: 2024-09-17 | Event ID: 2619271 | Points: 25
880871 Points thresholds in season 2025 - 2026:

Detailed game stats for minimum scored points of 20:
  Date: 2025-06-01 | Event ID: 2715833 | Points: 24
  Date: 2025-05-16 | Event ID: 2715757 | Points: 34
  Date: 2025-05-18 | Event ID: 2715763 | Points: 23
  Date: 2025-05-21 | Event ID: 2715767 | Points: 28
  Date: 2025-05-23 | Event ID: 2715772 | Points: 33
